time,conformance
0.0,-1.0
0.001,0.999
0.002,0.5990000000000001
0.003,-0.0009999989999999181
0.004,-0.0010015976010001593
0.005,-0.0010022342027999898
0.006,-0.0010028707251996671
0.007,-0.001003507168640394
0.008,-0.0010041435320241598
0.009,-0.001004779814253065
0.01,-0.0010054160142313195
0.011,-0.0010060521308659087
0.012,-0.001006688163063596
0.013,-0.0010073241097334762
0.014,-0.0010079599697866426
0.015,-0.0010085957421354097
0.016,-0.0010092314256930912
0.017,-0.0010098670193759984
0.018,-0.0010105025221007757
0.019,-0.0010111379327850667
0.02,-0.0010117732503508448
0.021,-0.00101240847371864
0.022,-0.0010130436018117583
0.023,-0.0010136786335553927
0.024,-0.0010143135678759574
0.025,-0.001014948403701088
0.026,-0.0010155831399604187
0.027,-0.0010162177755854707
0.028,-0.0010168523095075432
0.029,-0.0010174867406621546
0.03,-0.0010181210679841568
0.031,-0.0010187552904108443
0.032,-0.0010193894068816212
0.033,-0.0010200234163358912
0.034,-0.0010206573177163891
0.035,-0.0010212911099648503
0.036,-0.001021924792027895
0.037,-0.0010225583628510337
0.038,-0.0010231918213818858
0.039,-0.0010238251665708464
0.04,-0.0010244583973677557
0.041,-0.0010250915127255622
0.042,-0.0010257245115982139
0.043,-0.0010263573929413239
0.044,-0.0010269901557119487
0.045,-0.001027622798867256
0.046,-0.001028255321369076
0.047,-0.0010288877221775738
0.048,-0.0010295200002561344
0.049,-0.0010301521545691417
0.05,-0.0010307841840827558
0.051,-0.0010314160877636924
0.052,-0.0010320478645819975
0.053,-0.001032679513506607
0.054,-0.0010333110335113416
0.055,-0.0010339424235666916
0.056,-0.0010345736826504748
0.057,-0.001035204809737289
0.058,-0.001035835803805396
0.059,-0.0010364666638335018
0.06,-0.0010370973888027546
0.061,-0.001037727977695524
0.062,-0.0010383584294946235
0.063,-0.0010389887431858646
0.064,-0.0010396189177561688
0.065,-0.0010402489521919023
0.066,-0.0010408788454836504
0.067,-0.0010415085966228865
0.068,-0.0010421382045999739
0.069,-0.0010427676684109377
0.07,-0.0010433969870490278
0.071,-0.001044026159512712
0.072,-0.0010446551847985708
0.073,-0.0010452840619068482
0.074,-0.0010459127898382325
0.075,-0.0010465413675954105
0.076,-0.001047169794182068
0.077,-0.001047798068603334
0.078,-0.001048426189865892
0.079,-0.0010490541569779799
0.08,-0.0010496819689488346
0.081,-0.0010503096247893584
0.082,-0.001050937123512563
0.083,-0.0010515644641310162
0.084,-0.0010521916456613933
0.085,-0.0010528186671182604
0.086,-0.0010534455275218457
0.087,-0.0010540722258893798
0.088,-0.0010546987612434222
0.089,-0.0010553251326045343
0.09,-0.0010559513389976072
0.091,-0.00105657737944731
0.092,-0.0010572032529789777
0.093,-0.0010578289586219425
0.094,-0.001058454495403649
0.095,-0.0010590798623562048
0.096,-0.001059705058509497
0.097,-0.0010603300828998519
0.098,-0.001060954934558156
0.099,-0.0010615796125241772
0.1,-0.0010622041158317441
0.101,-0.0010628284435227897
0.102,-0.0010634525946350282
0.103,-0.0010640765682115028
0.104,-0.0010647003632941465
0.105,-0.0010653239789285007
0.106,-0.0010659474141578307
0.107,-0.001066570668031508
0.108,-0.0010671937395963504
0.109,-0.001067816627902729
0.11,-0.001068439332001181
0.111,-0.0010690618509441308
0.112,-0.0010696841837860016
0.113,-0.0010703063295809945
0.114,-0.0010709282873855863
0.115,-0.0010715500562580305
0.116,-0.0010721716352573019
0.117,-0.001072793023442431
0.118,-0.0010734142198776664
0.119,-0.001074035223624592
0.12,-0.0010746560337470124
0.1210000000000001,-0.0010752766493120625
0.1220000000000001,-0.0010758970693860448
0.1230000000000001,-0.0010765172930377043
0.1240000000000001,-0.0010771373193360079
0.125,-0.0010777571473530867
0.126,-0.0010783767761605723
0.127,-0.00107899620483215
0.128,-0.0010796154324432816
0.1290000000000001,-0.0010802344580692624
0.1300000000000001,-0.001080853280788996
